NAICS_Code,NAICS_Title,NAICS_Description,Hiscox_COB,COB_Group,PL,GL,BOP,Cyber,full_industry_code
111199,All Other Grain Farming ,"Rye farming, field and seed production",OOA,     ,No,No,No,No,0
111199,All Other Grain Farming ,"Sorghum farming, field and seed production",OOA,     ,No,No,No,No,0
111199,All Other Grain Farming ,"Wild rice farming, field and seed production",OOA,     ,No,No,No,No,0
111211,Potato Farming ,"Potato farming, field and seed potato production",OOA,     ,No,No,No,No,0
111211,Potato Farming ,"Sweet potato farming, field and seed potato production",OOA,     ,No,No,No,No,0
111211,Potato Farming ,"Vegetable and melon farming, potato dominant crop, field and seed production",OOA,     ,No,No,No,No,0
111211,Potato Farming ,"Vegetable and potato farming, potato dominant crop, field and seed potato production",OOA,     ,No,No,No,No,0
111211,Potato Farming ,"Yam farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Acorn squash farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Artichoke farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Asparagus farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Bean (except dry) farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Beet farming (except sugar beets), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Broccoli farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Brussel sprout farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Butternut squash farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Cabbage farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Cantaloupe farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Carrot farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Casaba melon farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Cassava farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Cauliflower farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Celery farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Chinese pea farming, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Chive farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Collard farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Cowpea (except dry) farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Crenshaw melon farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Cucumber farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Dill farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Eggplant farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Endive farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"English pea farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Escarole farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Garlic farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Gingerroot farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Ginseng farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Green bean farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Green cowpea farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Green lima bean farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Green pea farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Honeydew melon farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Kale farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Leek farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Lettuce farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Muskmelon farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Okra farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Onion farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Parsley farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Parsnip farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Pea (except dry) farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Pepper (e.g., bell, chili, green, hot, red, sweet) farming",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Pumpkin farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Radish farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Rhubarb farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Romaine lettuce farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Rutabaga farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Shallot farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Snap bean farming (i.e., bush and pole), field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Snow pea farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Spaghetti squash farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Spinach farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Squash farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"String bean farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Sweet corn farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Sweet pepper farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Taro farming, field and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Tomato farming (except under cover), field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Truck farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Turnip farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Vegetable and melon farming, vegetable (except potato) and melon dominant crops, field, bedding plants and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Vegetable and potato farming, vegetable (except potato) dominant crops, field, bedding plants and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Watermelon farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111219,Other Vegetable (except Potato) and Melon Farming ,"Zucchini farming, field, bedding plant and seed production",OOA,     ,No,No,No,No,0
111310,Orange Groves,Orange groves,OOA,     ,No,No,No,No,0
111320,Citrus (except Orange) Groves ,Citrus groves (except orange),OOA,     ,No,No,No,No,0
111320,Citrus (except Orange) Groves ,Grapefruit groves,OOA,     ,No,No,No,No,0
111320,Citrus (except Orange) Groves ,Lemon groves,OOA,     ,No,No,No,No,0
111320,Citrus (except Orange) Groves ,Lime groves,OOA,     ,No,No,No,No,0
111320,Citrus (except Orange) Groves ,Mandarin groves,OOA,     ,No,No,No,No,0
111320,Citrus (except Orange) Groves ,Tangelo groves,OOA,     ,No,No,No,No,0
111320,Citrus (except Orange) Groves ,Tangerine groves,OOA,     ,No,No,No,No,0
111331,Apple Orchards ,Apple orchards,OOA,     ,No,No,No,No,0
111332,Grape Vineyards ,Grape farming without making wine,OOA,     ,No,No,No,No,0
111332,Grape Vineyards ,Raisin farming,OOA,     ,No,No,No,No,0
111333,Strawberry Farming ,Strawberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Berry (except strawberry) farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Blackberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Blueberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Boysenberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Cranberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Currant farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Dewberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Gooseberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Huckleberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Loganberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Raspberry farming,OOA,     ,No,No,No,No,0
111334,Berry (except Strawberry) Farming ,Youngberry farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Almond farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Brazil nut farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Cashew farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Filbert farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Hazelnut farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Macadamia farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Pecan farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Pistachio farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Tree nut farming,OOA,     ,No,No,No,No,0
111335,Tree Nut Farming ,Walnut farming,OOA,     ,No,No,No,No,0
111336,Fruit and Tree Nut Combination Farming ,Fruit and tree nut combination farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Apricot farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Avocado farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Banana farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Cactus fruit farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Cherry farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Coconut tree farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Coffee farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Date farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,"Deciduous tree fruit (except apples, citrus) farming",OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Fig farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Guava farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Kiwi fruit farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Mango farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Nectarine farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Noncitrus fruit farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Olive farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Papaya farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Passion fruit farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Peach farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Pear farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Persimmon farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Pineapple farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Plantain farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Plum farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Pomegranate farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Prickly pear farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Prune farming,OOA,     ,No,No,No,No,0
111339,Other Noncitrus Fruit Farming ,Quince farming,OOA,     ,No,No,No,No,0
111411,Mushroom Production ,Mushroom farming,OOA,     ,No,No,No,No,0
111411,Mushroom Production ,Mushroom spawn farming,OOA,     ,No,No,No,No,0
111411,Mushroom Production ,Shitake mushroom farming,OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Alfalfa sprout farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Bean sprout farming,  grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Cannabis, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Cucumber farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Eggplant farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Endive farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"English pea farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Escarole farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Fruit farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Garlic farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Gingerroot farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Ginseng farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Hemp, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Herb farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,Hydroponic crop farming,OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Marijuana, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Melon farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Rhubarb, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Spice farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Tomato farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Truffles farming, grown under cover",OOA,     ,No,No,No,No,0
111419,Other Food Crops Grown Under Cover ,"Vegetable farming, grown under cover",OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Azalea farming,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Christmas tree growing,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Corms farming,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,"Field nurseries (i.e., growing of flowers and shrubbery)",OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Flower bulb growing,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,"Fruit stock (e.g., plants, seedlings, trees) growing",OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Herbaceous perennial growing,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Nursery stock growing,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Nursery with tree production (except for reforestation),OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Preseeded mat farming,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Propagation material farming,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Rose bush growing,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,"Short rotation woody tree growing (i.e., growing and harvesting cycle ten years or less)",OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Shrubbery farming,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Sod farming,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Tissue culture farming,OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,"Tree crop farming (except forestry), short rotation growing and harvesting cycle",OOA,     ,No,No,No,No,0
111421,Nursery and Tree Production ,Turf farming,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Bedding plant growing (except vegetable and melon bedding plants),OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Cultivated florist greens growing,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Cut flower growing,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Cut rose growing,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Cuttings farming,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Flower growing,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Flower seed production,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Foliage growing,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Hanging basket plant growing,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,House plant growing,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,Ornamental plant growing,OOA,     ,No,No,No,No,0
111422,Floriculture Production ,"Plant, ornamental, growing",OOA,     ,No,No,No,No,0
111422,Floriculture Production ,"Plant, potted flower and foliage, growing",OOA,     ,No,No,No,No,0
111422,Floriculture Production ,"Plug (i.e., floriculture products) growing",OOA,     ,No,No,No,No,0
111910,Tobacco Farming,"Tobacco farming, field and seed production",OOA,     ,No,No,No,No,0
111920,Cotton Farming,"Cotton farming, field and seed production",OOA,     ,No,No,No,No,0
111920,Cotton Farming,Cottonseed farming,OOA,     ,No,No,No,No,0
111930,Sugarcane Farming,"Cane farming, sugar, field production",OOA,     ,No,No,No,No,0
111930,Sugarcane Farming,"Sugarcane farming, field production",OOA,     ,No,No,No,No,0
111940,Hay Farming ,Alfalfa hay farming,OOA,     ,No,No,No,No,0
111940,Hay Farming ,Clover hay farming,OOA,     ,No,No,No,No,0
111940,Hay Farming ,Grass hay farming,OOA,     ,No,No,No,No,0
111940,Hay Farming ,"Hay farming (e.g., alfalfa hay, clover hay, grass hay)",OOA,     ,No,No,No,No,0
111940,Hay Farming ,Mixed hay farming,OOA,     ,No,No,No,No,0
111991,Sugar Beet Farming ,Sugar beet farming,OOA,     ,No,No,No,No,0
111992,Peanut Farming ,Peanut farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Agave farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Alfalfa seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Aloe farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Amaranth farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Bentgrass seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Bluegrass-Kentucky seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,"Cannabis, grown in an open field",OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Chicory farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Clover seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Crimson cloves seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Fescue seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,"General combination crop farming (except fruit and nut combinations, oilseed and grain, vegetable)",OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Grass seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Guar farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Hay seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,"Hemp, grown in an open field",OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,"Herb farming, open field",OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Hop farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Jojoba farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Kenaf farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,"Maple sap concentrating (i.e., producing pure maple syrup in the field)",OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Maple sap gathering,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,"Maple syrup (i.e., maple sap reducing)",OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,"Marijuana, grown in an open field",OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Mint farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Orchard grass seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Ryegrass seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Sorghum sudan seed farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Spice farming,OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,"Syrup, pure maple (i.e., maple syrup reducing)",OOA,     ,No,No,No,No,0
111998,All Other Miscellaneous Crop Farming ,Tea farming,OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,"Backgrounding, cattle",OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,Beef cattle ranching or farming,OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,"Calf (e.g., feeder, stocker, veal) production",OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,Cattle conditioning operations,OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,Cattle farming or ranching,OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,Dairy heifer replacement production,OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,Feeder calf production,OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,Stocker calf production,OOA,     ,No,No,No,No,0
112111,Beef Cattle Ranching and Farming ,Veal calf production,OOA,     ,No,No,No,No,0
112112,Cattle Feedlots ,Beef cattle feedlots (except stockyards for transportation),OOA,     ,No,No,No,No,0
112112,Cattle Feedlots ,Cattle feedlots (except stockyards for transportation),OOA,     ,No,No,No,No,0
112112,Cattle Feedlots ,Fattening cattle,OOA,     ,No,No,No,No,0
112112,Cattle Feedlots ,"Feed yards (except stockyards for transportation), cattle",OOA,     ,No,No,No,No,0
